26.2523	63.8506	-65.9000	59.7000	Merchant Cellar to High Mountain Valley
12.4438	2.3266	12.1621	2.3733	Four Towers Entrance
12.1211	2.3386	12.3625	2.0650	Four Towers Exit
36.6811	29.0643	29.7494	26.4513	Bandit Camp to Glenden Wood
-8.1211	74.4745	-39.7481	-54.0676	Portal to East Direlands Swamps
-65.1792	60.4000	-5.6358	39.9621	Portal to Desert Ridge Border
-66.1	60.1	-61.9	82.5	High Mountain Valley to Mayoi
42.4583	60.5124	64.9521	49.3204	Portal to Bandit Castle
57.5695	37.6445	22.1000	36.5000	Colier to Holtburg
59.7182	-4.0369	32.7929	34.6850	Portal to Hilltop
52.1581	3.0074	25.3000	47.7000	Northern Pass to Cragstone
68.9160	-21.3378	22.5763	37.2254	Stonehold to Homeland
22.2100	51.9067	25.3442	49.9854	Isle of Tears to Cragstone
-21.5631	-74.5222	-24.0160	-57.7945	Walled Fort to Accursed Halls
-24.0744	-57.7308	-21.5462	-74.5987	Accursed Halls to Walled Fort
-62.6408	-50.1783	-27.9246	68.3837	Wai Jhou to Sho Roadside
-62.1930	77.0938	-84.3000	-34.7000	Portal to South Direlands
68.6280	-23.2800	71.6000	-29.7781	Portal to A Bit More Westward
-83.5220	47.1301	-27.9246	68.3837	Kara to Sho Roadside
20.9247	25.9248	24.4479	-53.8454	Portal to the North Direlands
64.9	49.4	42.3	60.5	Portal to Eotensfang
34.8852	56.0066	40.9842	56.0321	Arwic to Mountain Shortcut
40.9336	55.7889	33.3000	57.1000	Mountain Shortcut to Arwic
-83.6029	-34.6315	-62.7000	81.5000	South Direlands to Mayoi
54.4001	-4.1277	-62.7000	81.5000	Hidden Valley to Mayoi
54.3368	-4.1990	-5.6358	39.9621	Hidden Valley to Desert Ridge Border
54.2234	-4.0980	41.6000	33.7000	Hidden Valley to Holtburg
-61.8714	40.0171	-65.1975	60.3179	Ancient Town to High Mountain Valley
-61.8000	40.0208	22.5763	37.2254	Ancient Town to Heartland
-82.4821	-45.6000	14.3000	1.3000	South Direlands to Zaikhal
-31.4015	36.9803	22.5763	37.2254	Desert Archmage to the Heartland
23.5898	-7.7097	-38.6000	82.1000	Wilderness Fort to Hebian-To
23.5898	-7.7097	14.3000	1.3000	Wilderness Fort to Zaikhal
44.3679	-43.4962	45.2973	-44.2637	Portal to Plateau Base
45.2642	-44.2272	44.4051	-43.4954	Portal to Plateau Top
64.9208	13.6000	-27.9246	68.3837	Portal to Sho Roadside
64.7792	13.5000	32.7929	34.6850	Crater to Hilltop
25.2333	49.8883	22.5471	51.9175	Cragstone to Isle of Tears
-11.2792	37.5000	-2.3000	63.3000	Portal to Riverbend
-11.4268	37.5000	-4.6867	-3.0704	Portal to North Desert Edge
-11.2004	37.4039	-5.6358	39.9621	Portal to Desert Ridge Border
61.6349	-10.1827	-4.6867	-3.0704	Portal to North Desert Edge
61.3823	-10.1980	24.4479	-53.8454	Portal to the North Direlands
-62.2059	-50.5428	-62.3621	-52.3008	Black Hill Portal
-62.0618	-50.3634	-62.0037	-50.0217	Small Hill Base Portal
-70.9801	52.2990	-21.9000	-2.2000	High Mountain Valley to Yaraq
-61.9158	40.1869	32.7929	34.6850	Ancient Town to Hilltop
19.6	-3.2	-4.7	-3.1	Gharu'ndim Outpost to North Desert Edge
61.6837	48.5552	-72.5104	81.2996	Portal to Vesayen Isles
-72.3597	82.1660	18.4700	65.8171	Portal to Eastham Beach
-72.1724	90.6349	17.5625	19.6000	Desert Northern Edge Portal
72.1690	-35.6000	-88.3073	-64.5019	Direland Midlands Portal
84.1083	47.2000	5.5333	-87.5083	Aerlinthe to Northwest Direlands
-18.6710	6.8277	56.7525	12.9383	Southern Mount Esper Portal
28.8188	6.6786	55.8654	-52.2383	Portal to Rivermouth
-45.9046	90.8070	93.5242	7.7004	Portal to Northern Point
79.9345	-15.2168	5.5333	-87.5083	Portal to the Northwest Direlands
-74.1631	-52.3922	-49.2000	-63.5000	South Rim to Direlands Valley
-74.1631	-52.3922	5.8000	-91.0000	South Rim to Direlands NW Shore
1.7198	-71.4711	32.7929	34.6850	Portal to Hilltop
3.8862	-72.4844	3.9854	-73.6925	Portal to Lighthouse
-80.5719	-37.4326	-0.4000	-80.1000	Portal to Slaughterhouse
-63.2	-56.7	-83.3	-19.2	Portal to Direlands South Landbridge
-60	-59.7	-70.9	-36.3	Portal to Direlands Southeast Shore
29.4	-52.2	44.5	-43.1	West Coast to Plateau Village
44.4950	-41.7763	50.4804	-68.1513	Northern Manumet Plains Portal
23.9275	-28.0266	56.1446	-75.2438	Central Tuatara Plains Portal
38.2620	-75.5145	42.0796	33.6000	Holtburg Portal
47.3635	-88.8843	38.1000	-75.9000	Bluespire Portal
40.9600	-83.5620	52.1246	-86.1550	Northern Ahurenga Plains Portal
40.4950	-83.7063	-52.1928	82.4540	Nanto Portal
42.0391	-77.6002	42.1800	-77.6221	Marescent Plateau Portal
42.5110	-67.4911	-22.2000	-2.1000	Yaraq Portal
55.9263	-75.0215	38.1054	-77.7158	Karab Delta Portal
40.2358	35.1072	61.1000	31.2000	Holtburg to New Colier Cottages Portal
40.2358	35.1072	43.9000	18.4000	Holtburg to Woodsbane Cottages Portal
40.2358	35.1072	50.3000	35.3000	Holtburg to Mountain Keep Cottages Portal
40.2358	35.1072	40.7391	47.2032	Holtburg to Holtburg Wilderness Cottages Portal
-33.5688	13.1653	-33.2000	9.8000	Al-Arqas to Al-Kasan Settlement
-33.5688	13.1653	-37.9000	16.0000	Al-Arqas to Monument Sands Settlement
-33.5688	13.1653	-34.5000	18.1000	Al-Arqas to Al-Hatar Settlement
-33.5688	13.1653	-24.7000	15.2000	Al-Arqas to Arqasanti
5.7014	4.3379	4.3000	12.3000	Al-Jalima to Musansayn
5.7014	4.3379	12.4270	5.6383	Al-Jalima to Four Towers Settlement
32.9058	59.3604	32.9000	48.4000	Arwic to East Span Way Settlement Portal
32.9058	59.3604	28.7000	59.7000	Arwic to Southeast Arwic Settlement Portal
32.9058	59.3604	30.1257	65.8106	Arwic to Cape Feirgard Cottages Portal
32.9058	59.3604	52.0000	64.0000	Arwic to Sennon Valley Retreat Portal
26.1635	46.2987	14.1000	37.8000	Cragstone to Forgotten Hills
26.1635	46.2987	17.4000	48.7000	Cragstone to South Victory Harbor
26.1635	46.2987	20.1423	43.5672	Cragstone to Cragstone Farms
66.2972	14.3387	72.5000	28.0000	Crater to East Esper Valley Portal
66.2972	14.3387	70.8712	22.9568	Crater to Neydisa Village Portal
66.2972	14.3387	56.7000	20.2000	Crater to Prosper River Headwaters Portal
66.2972	14.3387	87.6000	14.5000	Crater to Pavanne Vale Freehold Portal
66.2972	14.3387	86.7000	29.4000	Crater to Celdiseths Beach Settlement Portal
17.4640	61.4664	19.9344	57.3041	Eastham to Strathelar`s Watch Cottages
17.4640	61.4664	22.9000	60.3000	Eastham to North Eastham Meadow
17.4640	61.4664	13.4000	63.4000	Eastham to Filos` Font Cottages
17.4640	61.4664	16.7000	57.3000	Eastham to Lake Blessed Cottages
27.8986	29.5387	34.5000	22.5000	Glenden Wood to Mountain Ridge Abodes
27.8986	29.5387	22.7000	22.7000	Glenden Wood to Zabool Overlook Settlement
27.8986	29.5387	35.0000	26.8000	Glenden Wood to Glenden Hills North Settlement
27.8986	29.5387	32.1736	31.0168	Glenden Wood to Glenden Hills East Settlement
27.8986	29.5387	32.5000	18.5000	Glenden Wood to Eaves of Tiofor Settlement
27.8986	29.5387	34.1000	13.5000	Glenden Wood to Whispering Pines Cottages
-41.4841	82.1274	-20.3000	78.5000	Hebian-To to Bluewater Cottages
-41.4841	82.1274	-43.1000	87.2000	Hebian-To to Southwest Hebian-To Settlement
-41.4841	82.1274	-44.0000	80.4000	Hebian-To to South Hebian-To Cottages
